item_type,a,b,question,excerpt_a,excerpt_b,sources
proposition_kinship,P-016,P-042,Data broker registration: OCABR registry (MDPPA) vs AG registry with central opt-out (MIPSA),data brokers shall register with the OCABR in accordance with this subsection,the controller shall register with the attorney general,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-042,P-065,Data-seller registration: AG privacy registry (MIPSA) vs DOR tax-base registration (S1896),the controller shall register with the attorney general,must register with the department of revenue,memo/atomization/family-mipsa-internet.md
proposition_kinship,P-001,P-031,Data minimization: MDPPA duty-of-loyalty purposes vs GDPR-style principles (MIPSA/H1555),limited to what is reasonably necessary and proportionate to carry out one of the following purposes,"adequate, relevant and limited to what is reasonably necessary in relation to the purposes",memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-004,P-035,Sensitive data: strict-necessity bar (MDPPA) vs consent-gate/prohibition (MIPSA/H1555),except where such collection or processing is strictly necessary to provide or maintain a specific product or service,shall not otherwise process an individual's sensitive information without first obtaining the consent,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-271,P-275,Access right: MDPPA access (bundle section) vs GDPR-style access article,access... correct any verifiable substantial inaccuracy... delete covered data... export to the individual,the specific pieces of personal information that the controller has processed about the individual,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-273,P-037,Deletion right: MDPPA delete vs GDPR-style erasure,delete covered data... export to the individual,the right to request that a controller delete any personal information processed,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-272,P-038,Correction right: MDPPA correct vs GDPR-style rectification,correct any verifiable substantial inaccuracy,correct inaccurate personal information processed about the individual,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-274,P-276,Export/portability right: MDPPA export vs GDPR-style portability,"export to the individual or directly to another entity the covered data of the individual ... a portable, structured, interoperable, and machine-readable format","in a structured, commonly used and machine-readable format",memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-012,P-034,Opt-out of transfers/targeted ads: MDPPA vs MIPSA sale/ads opt-out with universal signal,may not transfer or direct the transfer of the covered data of an individual to a third party if the individual objects,the right to opt out of the processing of the individual's personal information,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-012,P-053,Opt-out vs GDPR objection right for direct marketing (H1555),may not transfer or direct the transfer of the covered data of an individual to a third party if the individual objects,the right to object at any time to processing of personal data concerning the data subject for the marketing,memo/atomization/family-mipsa-internet.md
proposition_kinship,P-014,P-019,Universal opt-out signals (redraft) vs OCABR centralized opt-out mechanism (filed),"an Internet link or a browser setting, browser extension or global device setting","establish or recognize one or more acceptable privacy protective, centralized mechanisms",memo/atomization/family-comprehensive-mdppa.md
proposition_kinship,P-009,P-040,Anti-retaliation/nondiscrimination for exercising rights: MDPPA vs MIPSA,may not retaliate against an individual for:- exercising any of the rights guaranteed by this chapter,shall not discriminate against an individual for exercising in good faith any of the rights,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-017,P-044,Civil-rights processing ban: MDPPA vs MIPSA,discriminates in or otherwise makes unavailable the equal enjoyment of goods or services,"discriminates in, or otherwise makes unavailable, the equal enjoyment of goods or services",memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-018,P-043,Algorithmic/risk assessments: MDPPA impact assessments vs MIPSA/H1555 risk assessments-DPIA,shall conduct an impact assessment of such algorithm in accordance with paragraph (1),carry out and document a risk assessment of the impact,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-022,P-041,Processor/service-provider contract duties: MDPPA vs GDPR-style,"shall adhere to the instructions of a covered entity and only collect, process, and transfer service provider data",A contract between a controller and a processor shall govern the processor's procedures,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-023,P-063,General private right of action: MDPPA vs H1555 damages remedy,"liquidated damages of not less than 0.15% of the annual global revenue... or $15,000 per violation",Any person who has suffered material or non-material damage as a result of an infringement,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-024,P-045,AG enforcement architecture: MDPPA 93A penalties vs MIPSA exclusive AG with cure,"not more than 4% of the annual global revenue... or $20,000,000, whichever is greater","civil penalties of up to 7,500 dollars for each violation",memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-024,P-062,AG enforcement: MDPPA vs H1555 GDPR-scale administrative fines,"not more than 4% of the annual global revenue... or $20,000,000, whichever is greater","administrative fines up to $20,000,000, or in the case of an undertaking, up to 4 per cent of the total worldwide annual turnover",memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-046,P-130,"Breach-limited PRA (MIPSA) vs location-chapter PRA (H357/S148): parallel architecture, different scopes",damages from the controller in an amount up to 500 dollars per individual per incident,"actual damages, including damages for emotional distress, or $5,000 per violation, whichever is greater",memo/atomization/family-mipsa-internet.md; memo/atomization/family-location.md
proposition_kinship,P-026,P-128,Legal-request transparency reports: MDPPA bi-monthly vs location-chapter annual AG reports,provide the Attorney General and the general public a bi-monthly report,report to the attorney general aggregate information pertaining to any warrants seeking location information,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-location.md
proposition_kinship,P-087,P-128,Warrant transparency reports: biometric chapter vs location chapter (parallel drafting),"on an annual basis, report to the attorney general aggregate information regarding any warrants for biometric information",report to the attorney general aggregate information pertaining to any warrants seeking location information,memo/atomization/family-biometric-breach.md; memo/atomization/family-location.md
proposition_kinship,P-125,P-131,Warrant gate over location/electronic data: duty on private holders (shield) vs bar on government acquisition (H1653/S27),serves the covered entity or service provider with a valid warrant or establishes the existence of exigent circumstances,Except pursuant to a warrant issued by a justice of the superior court,memo/atomization/family-location.md
proposition_kinship,P-128,P-134,Warrant reporting: covered entities to AG vs courts to legislature,report to the attorney general aggregate information pertaining to any warrants seeking location information,shall transmit to the legislature a full and complete report concerning the number of applications for warrants,memo/atomization/family-location.md
proposition_kinship,P-139,P-125,Tension: compelled emergency carrier disclosure (H1519) vs warrant gate on the same holder class (shield bills),shall immediately provide location information concerning the telecommunications devices of the user to the requesting law enforcement agency,serves the covered entity or service provider with a valid warrant or establishes the existence of exigent circumstances,memo/atomization/family-location.md
proposition_kinship,P-058,P-097,Breach notification: H1555 72-hour GDPR mechanism vs c.93H notice modernization,"not later than 72 hours after having become aware of it, notify the personal data breach to the attorney general","the date, estimated date, or estimated date range of the breach of security",memo/atomization/family-mipsa-internet.md; memo/atomization/family-biometric-breach.md
proposition_kinship,P-057,P-085,Security standards: H1555 general measures vs biometric-specific standard,a level of security appropriate to the risk,"store, transmit, and protect from disclosure all biometric data using the reasonable standard of care",memo/atomization/family-mipsa-internet.md; memo/atomization/family-biometric-breach.md
