bill,prop_id,sections,note,identity_basis,bill_url
H1049,P-223,c.183 s.70 (SECTION 1),,sole-carrier,https://malegislature.gov/Bills/193/H1049
H1062,P-365,SECTION 1 (c.60 amendment),sole section,sole-carrier,https://malegislature.gov/Bills/193/H1062
H1099,P-303,c.159A1/2 s.12(a)-(c) (within the bill's TNC/TND provisions),filed carrier of the regime enacted at 2024 c.206 s.15,verified-text-identical,https://malegislature.gov/Bills/193/H1099
H1099,P-304,c.159A1/2 s.12(d)-(e),filed carrier of the regime enacted at 2024 c.206 s.15,verified-text-identical,https://malegislature.gov/Bills/193/H1099
H1158,P-303,c.159A1/2 s.12(a)-(c) (within the bill's TNC/TND provisions),filed carrier of the regime enacted at 2024 c.206 s.15,verified-text-identical,https://malegislature.gov/Bills/193/H1158
H1158,P-304,c.159A1/2 s.12(d)-(e),filed carrier of the regime enacted at 2024 c.206 s.15,verified-text-identical,https://malegislature.gov/Bills/193/H1158
H1283,P-153,new c.66 s.22,broadest: no carve-out,verified-official-lineage,https://malegislature.gov/Bills/193/H1283
H1428,P-067,c.41 s.98H (SECTION 1),,sole-carrier,https://malegislature.gov/Bills/193/H1428
H1438,P-336,SECTION 1 (c.6 s.167A(j)),companions; AG quash authority attaches,verified-text-identical,https://malegislature.gov/Bills/193/H1438
H1438,P-337,SECTIONS 2-3 (c.6 s.172),companions,verified-text-identical,https://malegislature.gov/Bills/193/H1438
H1438,P-338,SECTIONS 5-6 (c.147 s.63; c.258B s.3(x)),companions; interview-subject PII carve-out attaches,verified-text-identical,https://malegislature.gov/Bills/193/H1438
H1442,P-251,c.6A s.18M,"identical to S1022; private-data framing, consent-or-court-order rule",verified-text-identical,https://malegislature.gov/Bills/193/H1442
H1442,P-252,c.6A s.18M para.1,identical to S1022,verified-text-identical,https://malegislature.gov/Bills/193/H1442
H1455,P-205,c.6C s.13(d),identical to S209,verified-text-identical,https://malegislature.gov/Bills/193/H1455
H1455,P-206,"c.6C s.13(e),(j)",identical to S209; any-crime warrant; emergency statement to court,verified-text-identical,https://malegislature.gov/Bills/193/H1455
H1455,P-207,c.6C s.13(f),identical to S209,verified-text-identical,https://malegislature.gov/Bills/193/H1455
H1455,P-208,c.6C s.13(h),identical to S209; exemplary damages only,verified-text-identical,https://malegislature.gov/Bills/193/H1455
H1455,P-209,c.6C s.13(i),identical to S209,verified-text-identical,https://malegislature.gov/Bills/193/H1455
H1519,P-139,c.6A s.18M(b)-(e),single-proposition bill,sole-carrier,https://malegislature.gov/Bills/193/H1519
H1525,P-291,new c.222 s.29 (within the notary-modernization act),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1525
H1555,P-031,c.93M s.3,stricter: no size thresholds,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-032,c.93M s.4,variant: adds public-task basis,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-033,c.93M ss.7-9,variant: 1-month deadline,inferred-analytic,https://malegislature.gov/Bills/193/H1555
